:START_ID,:END_ID,type:TYPE
Abdullah_Zilkha,Khedouri_Zilkha,PARENT
Abdullah_Zilkha,Ezra_Zilkha,RELATIVE
Abdullah_Zilkha,Maurice_Zilkha,RELATIVE
Abdullah_Zilkha,Selim_Zilkha,RELATIVE
Abdullah_al-Asiri,Ibrahim_al-Asiri,RELATION
Abdullah_al-Hamid,Saudi_Civil_and_Political_Rights_Association,KNOWNFOR
Abdullah_ibn_Abd_al-Muttalib,Fatima_bint_Amr,PARENT
Abdullah_ibn_Abd_al-Muttalib,Abbas_ibn_Abd_al-Muttalib,RELATIVE
Abdullah_ibn_Abd_al-Muttalib,Abū_Lahab,RELATIVE
Abdullah_ibn_Abd_al-Muttalib,Al-Harith_ibn_Abd_al-Muttalib,RELATIVE
Abdullah_ibn_Abd_al-Muttalib,Safiyya_bint_Abd_al-Muttalib,RELATIVE
Abdullah_ibn_Abd_al-Muttalib,Umayma_bint_Abd_al-Muttalib,RELATIVE
Abdullah_ibn_Abd_al-Muttalib,Aminah,SPOUSE
Abdullah_ibn_Ali_ibn_Abi_Talib,Abbas_ibn_Ali,RELATIVE
Abdullah_ibn_Ali_ibn_Abi_Talib,Abd_Allah_ibn_Hasan_ibn_Ali,RELATIVE
Abdullah_ibn_Ali_ibn_Abi_Talib,Fatima_bint_Hasan,RELATIVE
Abdullah_ibn_Ali_ibn_Abi_Talib,Ja'far_ibn_Ali,RELATIVE
Abdullah_ibn_Ali_ibn_Abi_Talib,Talha_ibn_Hasan,RELATIVE
Abdullah_ibn_Suhayl,Abu_Jandal_ibn_Suhayl,RELATIVE
Abdulwahab_Al-Rushaid,Kuwait_Economic_Society,BOARD
Abdulwahab_Al-Rushaid,Kuwait_Economic_Society,KNOWNFOR
Abdur_Rahim_Mikrani,National_Planning_Commission_of_Nepal,EMPLOYER
Abdur_Rahman_Peshawari,Abdur_Rahman_Peshawari,RELATIVE
Abdur_Razzak_(actor),Bapparaj,CHILD
Abdurajak_Abubakar_Janjalani,Khadaffy_Janjalani,SUCCESSOR
Abdyl_Frashëri,Sami_Frashëri,RELATION
Abe_Burrows,James_Burrows,CHILD
Abe_Levitow,Richard_Williams_(animator),EMPLOYER
Abe_Pollin,Irene_Pollin,SPOUSE
Abed_Hossain_Khan,Shahadat_Hossain_Khan,CHILD
Abel,Aclima,RELATIVE
Abel,Azura_(religious_figure),RELATIVE
Abel,Cain,RELATIVE
Abel_A._Hunter,Charles_Wesley_Powell,RDF-SCHEMA#SEEALSO
Abel_Adelakun_Ayoko,Maria_Oyeyinka_Laose,SUCCESSOR
Abel_Meeropol,Michael_Meeropol,CHILD
Abel_Meeropol,Robert_Meeropol,CHILD
Abel_Prescott_Jr.,Samuel_Prescott,RELATIVE
Abel_Pêra,Manuel_Pêra,RELATIVE
Abel_Salazar_(actor),Gloria_Marín,SPOUSE
Abel_Salazar_(actor),Rosita_Arenas,SPOUSE
Abel_Santamaría,Haydée_Santamaría,PARENT
Abel_Seyler,Abel_Seyler_the_Younger,CHILD
Abel_Seyler,Friederike_Sophie_Seyler,SPOUSE
Abel_Seyler_the_Younger,Georg_Seyler,CHILD
Abel_Stearns,Arcadia_Bandini_de_Stearns_Baker,SPOUSE
Abena_Busia,Akosua_Busia,RELATIVE
Abeywardena_Balasuriya,Sanath_Nandasiri,RELATIVE
Abha_Singh,Yogesh_Pratap_Singh,SPOUSE
Abhigyan_Jha,Mrinal_Jha,SPOUSE
Abhijit_Majumdar,Ashok_Pati,KNOWNFOR
Abhimanyu_Lal,Geetanjali_Lal,PARENT
Abhimanyu_Lal,Durga_Lal,RELATIVE
Abhimanyu_Singh_(producer),Chandrachur_Singh,RELATIVE
Abhinav_Kashyap,Anurag_Kashyap,RELATIVE
Abhinav_Shukla,Rubina_Dilaik,SPOUSE
Abhinay,T._P._Radhamani,PARENT
Abhinay_Vaddi,Gemini_Ganesan,RELATIVE
Abhinay_Vaddi,Savitri_(actress),RELATIVE
Abhinayashree,Anuradha_(actress),PARENT
Abhirami_Suresh,Amrutha_Suresh,RELATIVE
Abhishek_Bachchan,Aishwarya_Rai_Bachchan,SPOUSE
Abhishek_Kapoor,Ekta_Kapoor,RELATION
Abhishek_Kapoor,Jeetendra,RELATION
Abhishek_Kapoor,Tusshar_Kapoor,RELATION
Abhishek_Verma_(arms_dealer),Anca_Verma,SPOUSE
Abiah_Folger,James_Franklin_(printer),CHILD
Abiah_Folger,Jane_Franklin_Mecom,CHILD
Abiah_Folger,Josiah_Franklin,SPOUSE
Abid_Ali_(actor),Iman_Ali,RELATIVE
Abid_Ali_(actor),Rahma_Ali,RELATIVE
Abid_Ali_(actor),Humaira_Ali,SPOUSE
Abid_Ali_(actor),Rabia_Noreen,SPOUSE
Abida_Sultana,Shawkat_Ali_Emon,RELATIVE
Abida_Sultana,Rafiqul_Alam_(singer),SPOUSE
Abidali_Neemuchwala,T._K._Kurien,PREDECESSOR
Abiding_Truth_Ministries,Scott_Lively,FOUNDEDBY
Abiding_Truth_Ministries,Scott_Lively,KEYPERSON
Abigael_González_Valencia,Nemesio_Oseguera_Cervantes,RELATIVE
Abigael_Heber_Magnussøn,Sigurd_Magnussøn,SPOUSE
Abigail_(actress),Adrian_Wright,SPOUSE
Abigail_Baldwin,Richard_Baldwin_(publisher),SPOUSE
Abigail_Breslin,Spencer_Breslin,RELATIVE
Abigail_Cruttenden,Hal_Cruttenden,RELATIVE
Abigail_Disney,Roy_E._Disney,PARENT
Abigail_Johnson,Edward_C._Johnson_II,RELATIVE
Abigail_Kuaihelani_Campbell,Alice_Kamokilaikawai_Campbell,CHILD
Abigail_Kuaihelani_Campbell,James_Campbell_(industrialist),SPOUSE
Abigail_Minis,Philip_Minis,CHILD
Abigail_Minis,Abraham_Minis_(born_1694),SPOUSE
Abigail_Pogrebin,Letty_Cottin_Pogrebin,PARENT
Abigail_Scott_Duniway,Harvey_W._Scott,RELATION
Abigail_Thaw,John_Thaw,PARENT
Abigail_Thaw,Sally_Alexander,PARENT
Abigail_Thaw,Sheila_Hancock,PARENT
Abigail_Thaw,Nigel_Whitmey,SPOUSE
Abigail_Williams,Samuel_Parris,RELATIVE
Abijah_Hunt,David_Hunt_(planter),RELATIVE
Abijah_Hunt,John_Wesley_Hunt,RELATIVE
Abimbola_Fernandez,Antonio_Deinde_Fernandez,PARENT
Abimbola_Fernandez,DJ_Caise,RELATIVE
Abinandhan_Ramanujam,L._V._Prasad,ALMAMATER
Abisko_Scientific_Research_Station,Swedish_Polar_Research_Secretariat,PARENTORGANISATION
Abolfazl_Fateh,Iranian_Students_News_Agency,KNOWNFOR
Abolhassan_Etessami,Parvin_E'tesami,RELATIVE
Abolhassan_Etessami,Yussef_Etessami,RELATIVE
Abolhassan_Najafi,Academy_of_Persian_Language_and_Literature,KNOWNFOR
Aboubakr_Jamaï,Yale_World_Fellows,AWARD
Abra_Prentice_Wilkin,John_Rockefeller_Prentice,PARENT
Abraham_Bankier,Oskar_Schindler,KNOWNFOR
Abraham_Bowman,George_Bowman_(pioneer),PARENT
Abraham_Bowman,Isaac_Bowman,RELATION
Abraham_Bowman,John_Bowman_(pioneer),RELATION
Abraham_Bowman,John_Bryan_Bowman,RELATION
Abraham_Bowman,Joseph_Bowman,RELATION
Abraham_Foxman,Anti-Defamation_League,KNOWNFOR
Abraham_Haas,Walter_A._Haas,CHILD
Abraham_Hirschfeld,Elie_Hirschfeld,CHILD
Abraham_Hirschfeld,Rachel_Hirschfeld,CHILD
Abraham_Holland,Philemon_Holland,PARENT
Abraham_J._Isserman,Gerhart_Eisler,KNOWNFOR
Abraham_Jacobi,Mary_Putnam_Jacobi,SPOUSE
Abraham_Lincoln_(captain),Mary_Lincoln_Crume,CHILD
Abraham_Lincoln_(captain),Mordecai_Lincoln,CHILD
Abraham_Lincoln_(captain),Thomas_Lincoln,CHILD
Abraham_Lincoln_Neiman,Carrie_Marcus_Neiman,SPOUSE
Abraham_Low_Self-Help_Systems,Recovery_International,RDF-SCHEMA#SEEALSO
Abraham_Minis_(born_1694),Philip_Minis,CHILD
Abraham_Minis_(born_1694),Abigail_Minis,SPOUSE
